;;vapor;liquid
T;p;y_MeOH;x_MeOH
64,406;1013;100%;100%
64,462;1013;0,00Ê%;0,00Ê%
65,255;1013;0,00Ê%;0,00Ê%
65,903;1013;0,00Ê%;0,00Ê%
183,181;1013;0;0
0;1013;0,00Ê%;0,00Ê%
0;1013;0,00Ê%;0,00Ê%
0;1013;0,00Ê%;0,00Ê%
184,155;1013;0;0
0;1013;0,00Ê%;0,00Ê%
0;1013;0,00Ê%;0,00Ê%
;1013;;
184,103;1013;0;0
0;1013;0,00Ê%;0,00Ê%
0;1013;0,00Ê%;0,00Ê%
;1013;;
183,612;1013;0;0
0;1013;0,00Ê%;0,00Ê%
0;1013;0,00Ê%;0,00Ê%
;1013;;
183,816;1013;0;0
0;1013;0,00Ê%;0,00Ê%
0;1013;0,00Ê%;0,00Ê%
;1013;;
143,85;1013;75,49Ê%;4,63Ê%
133,179;1013;83,00Ê%;10,48Ê%
113,563;1013;92,16Ê%;14,10Ê%
103,382;1013;95,65Ê%;18,40Ê%
99,073;1013;97,27Ê%;21,80Ê%
91,416;1013;98,16Ê%;25,38Ê%
77,457;1013;99,24Ê%;44,66Ê%
;1013;;
76,433;1013;99,39Ê%;45,64Ê%
72,486;1013;99,65Ê%;54,90Ê%
69,51;1013;99,79Ê%;61,87Ê%
